name,id,type,class,neurotransmitter1,neurotransmitter2,l1_vol,l2_vol,l3_vol,adult_vol,dauer_vol
OLLR,94,1,OLL,Glutamate,,0.997195776,2.45756928,3.24003742875648,6.3673344,2.6677248
OLQDL,95,1,OLQ,Glutamate,,0.5466226688,1.17393408,1.56813081182208,3.32706816,1.2752896
OLQDR,96,1,OLQ,Glutamate,,0.60934848512,1.1275776,1.54693716148224,3.30522624,1.4767104
OLQVL,97,1,OLQ,Glutamate,,0.59059994624,1.22621952,1.82517856468992,3.36359424,1.171968
OLQVR,98,1,OLQ,Glutamate,,0.50985959424,1.15642368,1.70386318688256,3.55651584,1.2794368
PLNL,99,1,PLN,Acetylcholine,,0,0,0,1.45671168,0.7305216
PLNR,100,1,PLN,Acetylcholine,,0,0,0,1.28569344,0.7145472
PVCL,101,2,PVC,Acetylcholine,,0.36001808384,1.08997632,1.4563160358912,3.2160768,0.6664704
PVCR,102,2,PVC,Acetylcholine,,0.25031606272,0.78056448,1.4486756917248,2.84716032,0.6175744
PVDL,103,1,PVD,Glutamate,,0,0,0.00521536536576,0,0
PVDR,104,1,PVD,Glutamate,,0,0,0,0,0
PVNL,105,2,PVN,Acetylcholine,,0,0,0,2.28860928,0.5768704
PVNR,106,2,PVN,Acetylcholine,,0,0,0,2.80710144,0.707584
PVPL,107,2,PVP,Acetylcholine,,0.55528390656,1.34083584,1.38602486956032,3.61445376,0.6389248
PVPR,108,2,PVP,Acetylcholine,,0.55392075776,1.15110912,1.24301755809792,3.0303744,0.733184
PVQL,109,2,PVQ,Glutamate,,1.0340007936,2.33342976,2.36395570397184,4.8195072,0.88704
PVQR,110,2,PVQ,Glutamate,,0.8107589632,1.9642368,2.23410307203072,4.79069184,0.8749056
PVR,111,2,PVR,Glutamate,,0.94206164992,1.77942528,0.5418000580608,4.66105344,1.1414528
PVT,112,2,PVT,Unknown,,0.88283807744,2.89508352,2.97289113403392,8.73664512,2.6008064
RIAL,113,2,RIA,Glutamate,,2.23426379776,5.07995136,6.18622057709568,13.9256832,4.3265536
RIAR,114,2,RIA,Glutamate,,2.00575811584,5.00748288,5.98757162876928,14.15236608,4.4062208
RIBL,115,2,RIB,GABA,,1.32735041536,3.42122496,4.55042289106944,10.9959168,2.2964224
RIBR,116,2,RIB,GABA,,1.38913251328,3.27128064,4.16860499607552,9.71685888,2.0459008
RICL,117,2,RIC,Octopamine,,1.1549016064,2.4792576,3.08606788435968,6.53334528,2.6576384
RICR,118,2,RIC,Octopamine,,1.12885497856,2.6448384,3.011292168192,6.49347072,2.5869312
RID,119,2,RID,Unknown,,0.34242297856,0.88664064,1.23952957489152,7.91313408,2.706944
RIFL,120,2,RIF,Acetylcholine,,0.71288487936,1.70569728,2.1454418608128,5.10498816,1.119488
RIFR,121,2,RIF,Acetylcholine,,0.77707870208,1.74465024,2.18344426831872,4.20781056,0.9773056
RIGL,122,2,RIG,Glutamate,,1.28362479616,3.19936512,3.638298673152,9.38151936,2.4081408
RIGR,123,2,RIG,Glutamate,,1.37271181312,2.9228544,3.7565579132928,7.93930752,2.4444928
RIH,124,2,RIH,Acetylcholine,Serotonin,2.21580886016,5.27361024,7.68598691807232,14.91016704,4.1317888
RIML,125,2,RIM,Glutamate,Tyramine,2.57840644096,6.6957312,8.57914315112448,15.93335808,4.7556096
RIMR,126,2,RIM,Glutamate,Tyramine,2.35067670528,6.96812544,7.92280436834304,16.48659456,4.4099584
RIPL,127,2,RIP,Unknown,,0.3239051264,1.01609472,1.12020733034496,1.74901248,0.6247424
RIPR,128,2,RIP,Unknown,,0.37023121408,0.99965952,1.14365986504704,1.90620672,0.5888512
RIR,129,2,RIR,Acetylcholine,,1.17572632576,2.30326272,2.59814886211584,5.85836544,1.8891776
RIS,130,2,RIS,GABA,,2.36019777536,5.76033792,6.59517830332416,20.34321408,3.3327616
